4,1.08
4,1.41
3,1.40
4,1.72
4,1.73
3,2.06
4,2.39
3,2.73
4,2.88
4,3.04
4,3.06
3,3.38
2,3.72
1,4.05
2,4.35
2,4.36
1,4.70
1,4.71
3,5.03
2,5.36
3,5.68
2,6.02
4,6.36
4,6.68
3,6.67
4,7.01
4,7.02
3,7.34
4,7.68
4,7.68
4,8.02
3,8.00
4,8.34
3,8.67
2,9.01
1,9.32
2,9.66
2,9.67
1,9.99
3,10.33
2,10.65
3,11.01
2,11.02
3,11.18
2,11.33
1,11.35
3,11.51
4,11.68
1,11.67
3,12.00
3,12.01
3,12.16
4,12.33
3,12.66
4,13.00
3,13.34
4,13.67
2,13.69
3,13.84
3,13.97
1,14.00
3,14.17
2,14.34
1,14.33
3,14.65
1,14.66
1,14.83
2,14.97
2,14.96
3,15.15
2,15.32
1,15.31
3,15.49
3,15.65
3,15.98
2,15.98
3,16.34
2,16.33
3,16.51
2,16.66
1,16.68
3,16.84
4,17.02
1,17.01
3,17.33
3,17.35
4,17.68
3,18.01
4,18.34
3,18.67
4,19.00
2,19.01
3,17.50
3,19.17
1,19.34
3,19.34
3,19.51
2,19.68
1,19.66
1,20.00
3,20.00
1,20.18
2,20.33
2,20.33
2,20.51
1,20.67
3,20.84
2,21.37
3,21.67
3,21.02
2,22.01
3,21.68
3,21.69
4,22.02
3,22.11
4,22.01
2,22.35
2,22.36
1,22.37
2,22.36
2,22.37
2,22.68
2,22.69
2,22.69
2,22.69
1,22.69
1,22.70
2,23.00
2,22.84
2,22.85
2,22.85
1,22.85
2,22.85
1,22.85
2,23.33
2,23.33
2,23.33
1,23.38
1,23.34
2,23.33
4,23.67
4,24.00
3,23.99
3,24.00
4,23.67
3,24.70
4,24.36
4,24.19
3,24.17
3,24.68
4,24.83
2,23.67
2,25.02
2,25.03
2,25.00
2,25.03
2,25.34
2,25.32
2,25.32
2,25.32
2,25.32
2,25.55
2,25.50
2,25.50
2,25.50
2,25.49
3,25.01
2,25.99
2,25.65
2,25.88
2,25.97
2,25.97
2,25.97
2,26.32
2,26.66
2,26.82
3,26.82
3,26.65
4,26.33
3,27.33
4,26.97
2,27.32
3,27.32
3,26.64
2,26.31
1,27.48
3,27.67
3,27.66
1,27.66
1,27.99
3,27.98
3,27.98
3,28.15
3,28.15
1,27.65
4,27.99
1,28.32
1,28.15
3,28.66
3,28.65
3,29.00
4,29.02
4,29.34
3,29.25
1,29.67
3,29.36
3,29.00
4,29.33
3,29.97
4,29.68
4,29.01
3,30.01
1,29.90
3,29.80
4,29.66
1,30.37
1,30.67
4,30.69
4,30.68
4,31.02
1,31.01
1,31.00
4,31.02
4,31.37
4,31.34
1,31.35
1,31.34
2,30.36
1,31.52
2,31.00
4,31.51
4,31.51
2,30.41
1,31.51
2,31.68
1,32.00
4,31.68
4,31.67
2,31.99
1,31.66
2,32.35
2,32.35
3,32.50
1,32.67
1,32.67
3,32.82
4,33.00
3,33.33
3,33.31
1,33.01
3,33.48
4,33.66
3,34.00
4,34.32
3,34.66
2,34.99
4,35.00
3,35.15
3,35.32
1,35.33
3,35.49
2,35.67
1,35.65
3,36.00
1,36.00
1,36.17
2,36.32
3,36.49
1,36.66
3,37.00
2,37.36
3,36.84
2,37.69
3,37.70
3,37.88
2,38.02
1,38.03
4,38.37
3,38.69
3,38.68
1,38.36
3,38.20
3,38.85
4,39.03
3,39.34
4,39.67
3,40.00
2,40.34
4,40.34
3,40.51
3,40.68
1,40.68
3,40.85
2,41.02
1,41.00
3,41.35
1,41.36
1,41.53
2,41.68
2,41.86
1,42.02
3,42.21
2,42.71
3,42.39
2,43.37
3,43.04
3,43.05
4,43.38
3,43.03
4,43.37
1,43.71
2,43.70
2,43.70
2,43.71
2,43.71
2,44.04
2,44.03
2,44.03
1,44.03
2,44.03
1,44.04
2,44.21
2,44.22
1,44.21
2,44.21
2,44.21
1,44.24
2,44.70
1,44.70
2,44.36
2,44.69
2,44.69
1,44.69
2,44.69
4,45.04
2,45.03
4,45.06
4,45.38
3,45.35
3,45.37
4,45.07
3,46.04
4,45.67
4,45.55
3,45.54
3,46.05
2,45.06
4,46.20
2,45.04
2,46.38
2,46.38
2,46.39
2,46.71
2,46.73
2,46.72
2,46.73
2,45.04
2,46.88
2,46.89
2,46.88
3,46.37
2,47.39
2,47.05
2,46.90
2,47.37
2,47.37
2,47.73
3,48.23
3,48.07
2,48.23
4,47.72
3,48.73
4,48.40
2,48.75
3,48.72
3,48.06
2,47.72
1,48.89
1,49.10
3,49.08
3,49.42
1,49.42
3,49.42
1,49.59
3,49.59
3,49.58
4,49.41
1,49.08
4,50.08
1,49.75
1,50.07
3,50.07
3,50.07
2,45.05
3,50.43
1,51.09
2,50.44
4,50.43
2,50.43
3,51.47
1,51.33
3,51.23
4,51.10
3,51.76
2,52.11
3,51.75
2,52.73
3,52.43
1,52.44
2,52.75
4,51.60
3,52.42
3,53.42
4,53.75
3,53.13
4,53.11
3,54.06
4,54.25
3,53.10
3,54.31
4,54.40
3,54.73
4,54.39
3,54.39
3,55.08
3,55.40
3,55.07
4,55.09
3,55.41
4,55.07
4,55.07
3,55.62
3,55.55
1,56.10
2,55.75
1,56.76
2,56.42
4,55.76
2,55.75
3,56.90
1,55.74
1,56.96
1,56.97
2,57.04
3,57.01
3,57.07
3,57.72
2,57.72
3,58.21
1,58.06
3,57.74
2,57.73
1,58.35
3,58.74
2,58.39
3,58.38
4,58.40
3,59.06
3,59.39
4,59.07
3,59.55
1,59.38
3,59.07
2,59.06
1,59.69
4,59.73
2,59.76
3,59.73
3,60.06
4,60.39
4,60.88
3,60.75
4,60.40
3,60.88
1,60.74
3,60.39
2,60.39
2,61.07
1,62.08
2,61.75
2,61.08
1,61.06
2,61.08
2,62.47
3,62.48
2,62.46
3,62.49
3,62.47
2,62.44
1,62.91
3,62.78
2,62.61
3,63.09
3,63.08
2,63.08
3,63.10
2,63.58
3,63.43
1,63.26
2,63.10
2,63.74
4,63.73
2,63.74
3,63.74
1,63.75
1,64.24
3,64.08
2,63.91
1,64.45
4,64.43
2,64.43
3,64.44
2,64.90
3,64.73
1,64.57
2,64.40
2,65.10
3,65.09
3,65.10
2,65.08
1,65.58
3,65.42
2,65.26
3,65.76
2,65.76
3,65.76
2,66.24
3,66.09
1,65.92
2,65.75
2,66.44
3,66.44
4,66.45
2,66.59
3,66.76
2,66.43
3,66.94
2,66.94
3,66.94
1,66.91
1,67.44
2,67.43
3,67.43
2,67.61
3,67.42
1,67.25
2,67.06
3,67.79
2,67.77
3,67.81
2,67.94
2,67.78
3,67.78
3,68.11
2,68.10
3,68.11
3,68.11
3,68.10
1,68.24
2,68.42
